donor,channel,description,Committed USD,Uncommitted USD,,,,,
Abbott Laboratories,Bilateral (to affected government),In-kind: Donations of medicines and nutritional products,"1,000,000",0,,,,,
ADRA-Haiti,ADRA-Haiti,Emergency assistance,"809,281",0,,,,,
Advent Software,PIH,Humanitarian assistance,0,"25,000",,,,,
Air Products,American RC,Humanitarian assistance,0,"25,000",,,,,
Albanian Red Cross,IFRC,for victims of earthquake in Haiti; for the emergency appeal of the International Federation of Red Cross and Red Crescent Societies,"15,000",0,,,,,
Alcoa Foundation,American RC,Assist the victims of Haitis devastating earthquake,0,"100,000",,,,,
Alcon Laboratories,NGOs,"in-kind: $1 million worth of eye drops and eye-related antibiotics and ointments: in partnership with Project Hope, AmeriCares, Direct Relief International and Heart to Heart",0,"1,000,000",,,,,
Allocation of unearmarked funds by UNICEF,UNICEF,Humanitarian Response (SM099906),"479,205",0,,,,,
Allocation of unearmarked funds by UNICEF,UNICEF,"in kind - 2,500 kitchen kits and 5,000 1 litre bags of water; supplies to assist 10,000 people, including oral rehydration salts to combat deadly diarrhea episodes, water purifications tablets, tarpaulins and tents to provide temporary housing; blankets, emergency health kits, jerry cans and some other supplies","3,400,000",0,,,,,
Allocation of unearmarked funds by WFP,WFP,in kind - seven logistics staff and three telecommunications staff to help support relief efforts through the activation of the Logistics and Telecommunications Clusters; Two Staff counsellors,0,0,,,,,
Allocation of unearmarked funds by WFP,WFP,Emergency Operation in support of relief efforts,"500,000",0,,,,,
Allocation of unearmarked funds by WHO,WHO,"in kind - 100,000 water purification tablets",0,0,,,,,
Allocation of unearmarked funds by WHO,WHO,Emergency assistance(funds from WHO Rapid Response Account),"75,000",0,,,,,
Allocation of unearmarked funds by WHO,WHO,Emergency assistance to affected population,"200,000",0,,,,,
Allstate Foundation,American RC,Relief assistance,0,"50,000",,,,,
Altria Group,American RC,Relief assistance,0,"100,000",,,,,
America Continental 2000,Bilateral (to affected government),in kind - 5 pallets of medical supplies,0,0,,,,,
American Express Company,"UN Agencies, NGOs and Red Cross",Relief assistance,0,"250,000",,,,,
American Red Cross,American RC,Assist communities impacted by todays earthquake in Haiti,"200,000",0,,,,,
Americares,Americares,To be allocated to specific projects,0,"5,000,000",,,,,
Amgen,Various,Aviating allocation to specific projects,0,"2,000,000",,,,,
Amway,NGOs; Red Cross,Relief assistance for American Red Cross and SOS Children´s Villages,0,"100,000",,,,,
Angel Network,American RC,For Haitian Relief,"1,000,000",0,,,,,
Argentina,Bilateral (to affected government),in kind - a planeload of medical equipment and relief supplies to Haiti,0,0,,,,,
AstraZeneca,BRCS,Relief assistance,0,"163,150",,,,,
AT&T Foundation,TSF,Emergency telecommunications,"50,000",0,,,,,
Australia,IFRC,Humanitarian relief and reconstruction support to Haiti,"899,281",0,,,,,
Australia,CDERA,For immdeiate life-saving support to those most affected by the earthquake,"899,281",0,,,,,
Australia,WFP,WFP for special operations supporting logistics and communications,"1,348,921",0,,,,,
Australia,NGOs,Humanitarian relief and reconstruction support to Haiti (Australian NGOs),"1,348,921",0,,,,,
Australia,"UN Agencies, NGOs and Red Cross",Emergency humanitarian relief and reconstruction assistance for those affected by the earthquake in Haiti,"4,496,403",0,,,,,
Bangladesh,Bilateral (to affected government),in kind - a medical team to Haiti to help its earthquake-stricken people,0,0,,,,,
Bank of America Corporation,Haiti Relief and Development Fund,Assistance for relief efforts,"500,000",0,,,,,
Bank of America Corporation,American RC,Earthquake relief,"500,000",0,,,,,
Baxter International Foundation,NGOs; Red Cross,"Immediate, acute-care and longer-term needs; support to ARC and CARE",0,"1,000,000",,,,,
"Becton, Dickson and Company",Various,Medical equipment,0,"500,000",,,,,
"Becton, Dickson and Company",NGOs; Red Cross,"Support to American Red Cross, U.S. Fund for UNICEF, AmeriCares, Catholic Medical Mission Board, Direct Relief International, Heart to Heart International, Partners in Health, Project HOPE, and Save the Children",0,"550,000",,,,,
Belgium,Bilateral (to affected government),"in kind - Une soixantaine de personnes quipe B-Fast pour porter secours aux victimes du violent tremblement de terre une quipe d´intervention (mdicale avec un hpital de campagne (20 personnes); une quipe USAR (Urban Search and Rescue Team) de 33 personnes, avec quatre chiens pisteurs; une installation de purification de l´eau potable, avec deux accompagnateurs","651,876",0,,,,,
Bill and Melinda Gates Foundation,CRS,Awaiting allocation to specific projects,0,"1,000,000",,,,,
Bill and Melinda Gates Foundation,CRS,Relief assistance,"1,000,000",0,,,,,
BMO Financial Group,RC/Canada,Assistance to Red Cross effort,"250,000",0,,,,,
Bolivia,Bilateral (to affected government),in kind -  blood and food to the victims of the earthquake.,0,0,,,,,
Brazil,Bilateral (to affected government),"Six flights of the Brazilian Air Force sent to Haiti, carrying personnel, food items, medications and an emergency portable hospital; Rescue team sent to Haiti, composed by fifty specialists in disaster relief, besides tools and rescue dogs",0,0,,,,,
Brazil,ERF (OCHA),To contribute to the efforts underway to bring relief and emergency assistance to the Haitian population,0,"5,000,000",,,,,
Brazil,Bilateral (to affected government),Aid funds for Haiti earthquake response,0,"10,000,000",,,,,
Brazil,Bilateral (to affected government),"Local purchase of food, by the Brazilian Embassy in Port-au-Prince, for school feeding rehabilitation programmes in Haiti","50,000",0,,,,,
Brazil,UNFPA,Humanitarian assistance,"100,000",0,,,,,
Brazil,WFP,School feeding,"130,000",0,,,,,
Brazil,FAO,Humanitarian assistance,"250,000",0,,,,,
British Airways,BA,in kind - a relief aircraft to aid agencies travelling to Haiti,0,0,,,,,
Cambodia,Bilateral (to affected government),Relief efforts to the people of Haiti,"50,000",0,,,,,
Campbell Soup CO,UN Agencies and NGOs (details not yet provided),To be allocated to specific projects,"200,000",0,,,,,
Canada,Bilateral (to affected government),in kind: A Disaster Emergency Response Team deployed to Haiti; C-17 aircraft full of medical aid and a pair of search and rescue helicopters,0,0,,,,,
Canada,MCIC,Emergency response efforts in Haiti (Province of Manitoba),0,"96,339",,,,,
Canada,Bilateral (to affected government),"Immediate aid including emergency shelter, medical services, food, relief items, water and sanitation services and protection",0,"4,816,956",,,,,
Canada,"UN Agencies, NGOs and Red Cross",to match individual donations to charities intended to help the Caribbean nation recover from devastation caused by the temblor.,0,"48,169,557",,,,,
Canada,RC/Canada,Relief effort in Haiti (Nova Scotia),"96,339",0,,,,,
Canada,RC/Canada,Immediate medical and emergency support (British Columbia),"481,696",0,,,,,
CareSource Foundation,American RC,"Provide supplies, technical assistance, efforts to reconnect families and reconstruct hospitals, schools, child care centers and neighborhoods","10,000",0,,,,,
Caribbean Development Bank,Bilateral (to affected government),"Immediate relief to Haiti following the widespread devastation caused by the powerful earthquake (potable water, food, medicines and temporary shelter, restoration of critical facilities and services)",0,"1,000,000",,,,,
CARITAS,CARITAS,in kind - group of 7 experts,0,0,,,,,
CARITAS,CARITAS,Emergency assistance to affected population,"252,525",0,,,,,
"Caterpillar, Inc.",ICRC,Relief efforts,"200,000",0,,,,,
Catholic Relief Services,CRS,To be allocated to specific projects,0,"5,000,000",,,,,
Central Emergency Response Fund,WFP,CERF rapid response grant to WFP: Common emergency telecommunication services to humanitarian community in Haiti (CERF 10-WFP-007),"782,460",0,,,,,
Central Emergency Response Fund,UNICEF,CERF rapid response grant to project: Emergency nutrition for children and women (CERF 10-CEF-004A),"850,292",0,,,,,
Central Emergency Response Fund,IOM,CERF rapid response grant to project: Immediate shelter and NFIs assistance to vulnerable earthquake victims in Haiti (CERF 10-IOM-001),"1,000,000",0,,,,,
Central Emergency Response Fund,UNICEF,CERF rapid response grant to project: Provide access to safe water and sanitation facilities to families affected by the earthquake (CERF 10-CEF-004B),"1,201,075",0,,,,,
Central Emergency Response Fund,WFP,CERF rapid response grant to project: Provision of humanitarian air services in response to the earthquake in Haiti & Logistics augmentation and coordination of relief operation in response to the earthquake in Haiti (CERF 10-WFP-006),"2,000,000",0,,,,,
Central Emergency Response Fund,WHO,CERF rapid response grant to WHO: Awaiting allocation to specific project - Haiti Earthquake Response 2010,"2,000,000",0,,,,,
Central Emergency Response Fund,WFP,CERF rapid response grant to project: Food assistance to earthquake affected populations in Haiti (CERF 10-WFP-005),"2,893,426",0,,,,,
Central Emergency Response Fund,UN Agencies,CERF rapid response grant to UN agencies: Awaiting allocation to specific agencies/sectors/projects,"15,000,000",0,,,,,
Chile,Bilateral (to affected government),in kind - a 767 jet and a Hercules C-130 plane with medical assistance.,0,0,,,,,
China,Bilateral (to affected government),in kind - A 50-member rescue team; three sniffer dogs,0,0,,,,,
China,RCSC,Emergency aid to affected population,0,"1,000,000",,,,,
China,Bilateral (to affected government),"Humanitarian aid, including medicines, tents, food, emergency lights, clothing and water","4,405,286",0,,,,,
Citigroup,Various,Aviating allocation to specific projects,0,"2,000,000",,,,,
Coca-Cola Company,American RC,"Provide immediate relief and long-term support through supplies, technical and financial assistance, and other support to help those in need","1,000,000",0,,,,,
Colombia,Bilateral (to affected government),"in kind -  flight with 600 kg of drugs, gloves, surgical masks, a military hospital with 7 military doctors able to perform complex surgeries and trauma management, 20 SAR experts (pairs man-dog), 3 satelite phones donated by the National Police, and 2000 kg of provisions for Colombian police men present in the area.",0,0,,,,,
Colombia,WFP,Food aid,"50,000",0,,,,,
Comcast Corp,American RC,Emergency relief,0,"25,000",,,,,
Comcast Corp,TSF,an emergency team with communications equipment to Haiti.,0,"25,000",,,,,
Comcast Corp,Various,in kind - goods and services (free airtime for earthquake-related public-service announcements for the Red Cross and other organizations),0,"950,000",,,,,
ConAgra Foods,American RC,To be allocated to specific projects,0,"100,000",,,,,
Cuba,Bilateral (to affected government),in kind: 30 doctors to add to its medical staff already in Haiti.,0,0,,,,,
Czech Republic,UNICEF,Reconstruction of Water Infrastructure (91386/2010-ORS),"288,600",0,,,,,
Danchurchaid,Danchurchaid,Relief work,"194,175",0,,,,,
Denmark,ERF (OCHA),Emergency Relief Response Fund (ERRF) Haiti [OCT 2844],0,"3,883,495",,,,,
Denmark,SC - Denmark,Urgent relief (46.h.5.drk.),"96,957",0,,,,,
Denmark,Danchurchaid,Urgent relief (46.h.5.drk.),"145,434",0,,,,,
Denmark,Danish RC,Urgent relief (46.h.5.drk.),"145,434",0,,,,,
Denmark,OCHA,OCHA country office in Haiti (46.haiti.5.b.) [OCT 2843],"291,262",0,,,,,
Denmark,DEMA,UN Base Camp Module (46.H.5.BRS.),"1,163,476",0,,,,,
Denmark,ERF (OCHA),OCHA ERRF for Haiti (46.haiti.5.b.) [OCT 2842],"1,650,485",0,,,,,
Development and Peace,CARITAS,"First aid supplies, food, shelter and other basic necessities","50,000",0,,,,,
